date,open,high,low,close,volume,symbol,top_fractal,bottom_fractal,pen_type,pen_start,pen_end,segment_type,segment_start,segment_end,central_bank,central_bank_high,central_bank_low
2025-04-22,3.875,3.893,3.873,3.878,752043609,510300,False,False,,False,False,,False,False,False,,
2025-04-23,3.892,3.907,3.873,3.882,615504094,510300,False,False,,False,False,,False,False,False,,
2025-04-24,3.882,3.903,3.871,3.882,487361469,510300,False,False,,False,False,,False,False,False,,
2025-04-25,3.887,3.899,3.875,3.882,577193480,510300,False,False,,False,False,,False,False,False,,
2025-04-28,3.883,3.886,3.864,3.876,624709030,510300,False,False,,False,False,,False,False,False,,
2025-04-29,3.874,3.88,3.862,3.869,494734986,510300,False,True,up,True,False,up,True,True,True,4.024,3.932
2025-04-30,3.87,3.886,3.864,3.866,500453684,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-05-06,3.886,3.906,3.88,3.903,717825309,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-05-07,3.95,3.962,3.91,3.927,1047081171,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-05-08,3.918,3.966,3.918,3.95,782005719,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-05-09,3.946,3.95,3.932,3.945,693374829,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-05-12,3.963,3.992,3.957,3.99,836500229,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-05-13,4.011,4.012,3.988,3.994,793400917,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-05-14,3.995,4.066,3.992,4.045,1214790218,510300,True,False,down,True,True,down,True,True,True,4.024,3.932
2025-05-15,4.038,4.041,4.004,4.011,817722375,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-05-16,4.002,4.009,3.977,3.989,730283731,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-05-19,3.984,3.988,3.965,3.983,556298093,510300,False,True,,False,False,,False,False,True,4.024,3.932
2025-05-20,3.984,4.016,3.98,4.003,549987479,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-05-21,4.004,4.031,4.003,4.019,560603133,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-05-22,4.018,4.027,4.003,4.017,491932009,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-05-23,4.012,4.039,3.987,3.988,845089070,510300,True,False,,False,False,,False,False,True,4.024,3.932
2025-05-26,3.982,3.993,3.956,3.967,740485719,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-05-27,3.965,3.969,3.939,3.946,578288400,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-05-28,3.947,3.956,3.938,3.942,539920166,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-05-29,3.945,3.979,3.939,3.966,891039442,510300,True,False,,False,False,,False,False,True,4.024,3.932
2025-05-30,3.959,3.964,3.932,3.959,737030741,510300,False,True,up,True,True,up,True,True,True,4.024,3.932
2025-06-03,3.946,3.972,3.942,3.957,596786798,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-06-04,3.959,3.985,3.958,3.974,464543350,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-06-05,3.978,3.994,3.967,3.984,531965733,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-06-06,3.987,3.999,3.978,3.986,488880795,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-06-09,3.989,4.01,3.984,3.995,581098178,510300,False,False,,False,False,,False,False,True,4.024,3.932
2025-06-10,3.997,4.005,3.958,3.972,771051770,510300,False,True,,False,False,,False,False,True,4.024,3.932
2025-06-11,3.974,4.024,3.974,4.004,1103509525,510300,True,False,down,True,True,down,True,True,True,4.024,4.004
2025-06-12,3.998,4.013,3.98,4.006,690087151,510300,False,False,,False,False,,False,False,True,4.024,4.004
2025-06-13,3.998,4.002,3.967,3.98,698016832,510300,False,True,,False,False,,False,False,True,4.024,4.004
2025-06-16,3.974,3.994,3.971,3.99,649326744,510300,False,False,,False,False,,False,False,True,4.024,4.004
2025-06-17,3.991,3.997,3.974,3.989,482891300,510300,False,False,,False,False,,False,False,True,4.024,4.004
2025-06-18,3.903,3.91,3.882,3.904,480803410,510300,False,False,,False,False,,False,False,True,4.024,4.004
2025-06-19,3.898,3.899,3.863,3.873,600788572,510300,False,False,,False,False,,False,False,True,4.024,4.004
2025-06-20,3.872,3.888,3.871,3.878,423044140,510300,False,False,,False,False,,False,False,True,4.024,4.004
2025-06-23,3.869,3.902,3.862,3.891,749244714,510300,False,True,up,True,True,up,True,True,True,4.065,4.053
2025-06-24,3.896,3.95,3.896,3.936,1224554880,510300,False,False,,False,False,,False,False,True,4.065,4.053
2025-06-25,3.939,4.003,3.935,4.001,1724116122,510300,False,False,,False,False,,False,False,True,4.065,4.053
2025-06-26,3.995,4.004,3.985,3.986,937967872,510300,False,False,,False,False,,False,False,True,4.065,4.053
2025-06-27,3.99,4.013,3.958,3.963,1069691383,510300,True,False,,False,False,,False,False,True,4.065,4.053
2025-06-30,3.961,3.985,3.956,3.982,1081958996,510300,False,True,,False,False,,False,False,True,4.065,4.053
2025-07-01,3.98,3.992,3.969,3.988,640686095,510300,False,False,,False,False,,False,False,True,4.065,4.053
2025-07-02,3.985,3.999,3.975,3.992,518883509,510300,False,False,,False,False,,False,False,True,4.065,4.053
2025-07-03,3.994,4.02,3.991,4.015,686381903,510300,False,False,,False,False,,False,False,True,4.065,4.053
2025-07-04,4.011,4.065,4.004,4.032,1052562084,510300,True,False,down,True,True,down,True,True,True,4.065,4.053
2025-07-07,4.026,4.032,4.005,4.014,402251440,510300,False,False,,False,False,,False,False,True,4.065,4.053
2025-07-08,4.016,4.056,4.013,4.048,612248738,510300,False,False,,False,False,,False,False,True,4.065,4.053
2025-07-09,4.048,4.069,4.04,4.045,647660804,510300,False,False,,False,False,,False,False,True,4.065,4.053
2025-07-10,4.045,4.09,4.044,4.065,632387667,510300,False,False,,False,False,,False,False,True,4.065,4.053
2025-07-11,4.066,4.13,4.065,4.079,1264855146,510300,True,False,,False,False,,False,False,True,4.065,4.053
2025-07-14,4.078,4.094,4.076,4.078,820547885,510300,False,False,,False,False,,False,False,True,4.065,4.053
2025-07-15,4.082,4.104,4.053,4.078,807481346,510300,False,True,up,True,True,up,True,True,True,4.234,4.117
2025-07-16,4.079,4.093,4.056,4.069,479181889,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-07-17,4.069,4.103,4.068,4.102,597822533,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-07-18,4.108,4.136,4.105,4.132,713129616,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-07-21,4.137,4.16,4.134,4.157,767461325,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-07-22,4.159,4.203,4.142,4.201,1082109050,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-07-23,4.204,4.234,4.188,4.199,994731531,510300,True,False,down,True,True,down,True,True,True,4.234,4.117
2025-07-24,4.195,4.228,4.19,4.225,885235951,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-07-25,4.225,4.225,4.193,4.203,820085976,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-07-28,4.203,4.223,4.186,4.214,602771297,510300,False,True,,False,False,,False,False,True,4.234,4.117
2025-07-29,4.208,4.236,4.192,4.235,805978553,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-07-30,4.227,4.265,4.207,4.232,950252156,510300,True,False,,False,False,,False,False,True,4.234,4.117
2025-07-31,4.221,4.221,4.142,4.155,1122912575,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-01,4.148,4.162,4.118,4.133,611567102,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-04,4.122,4.154,4.117,4.152,435567200,510300,False,True,up,True,True,up,True,True,True,4.234,4.117
2025-08-05,4.154,4.185,4.151,4.183,548068072,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-06,4.181,4.199,4.176,4.194,408944907,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-07,4.196,4.21,4.171,4.193,533965616,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-08,4.188,4.201,4.175,4.183,423062400,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-11,4.183,4.218,4.183,4.202,688151892,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-12,4.2,4.237,4.2,4.228,482487210,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-13,4.234,4.272,4.229,4.263,758840813,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-14,4.265,4.303,4.248,4.256,887934379,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-15,4.242,4.302,4.24,4.295,1071833947,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-18,4.298,4.36,4.285,4.327,1009247534,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-19,4.326,4.347,4.297,4.305,774332431,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-20,4.295,4.365,4.267,4.364,1378416563,510300,False,True,,False,False,,False,False,True,4.234,4.117
2025-08-21,4.368,4.394,4.358,4.378,913002468,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-22,4.375,4.484,4.374,4.479,1360263420,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-25,4.501,4.572,4.497,4.565,1456091826,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-26,4.554,4.572,4.527,4.541,1114294146,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-27,4.541,4.585,4.473,4.475,1412690404,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-08-28,4.469,4.561,4.452,4.559,1276415694,510300,False,True,,False,False,,False,False,True,4.234,4.117
2025-08-29,4.55,4.613,4.54,4.601,1355057364,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-09-01,4.607,4.624,4.58,4.616,1193986671,510300,False,False,,False,False,,False,False,True,4.234,4.117
2025-09-02,4.613,4.643,4.55,4.59,1034412186,510300,True,False,down,True,True,down,True,False,True,4.234,4.117
2025-09-03,4.592,4.609,4.52,4.549,918862472,510300,False,False,,False,False,,False,False,False,,
2025-09-04,4.546,4.555,4.416,4.456,1420822833,510300,False,True,,False,False,,False,False,False,,
2025-09-05,4.45,4.563,4.442,4.554,1060332474,510300,False,False,,False,False,,False,False,False,,
2025-09-08,4.554,4.573,4.524,4.555,1034021993,510300,True,False,,False,False,,False,False,False,,
2025-09-09,4.545,4.564,4.502,4.528,680354536,510300,False,False,,False,False,,False,False,False,,
2025-09-10,4.526,4.562,4.507,4.538,608658332,510300,False,False,,False,False,,False,False,False,,
2025-09-11,4.527,4.662,4.517,4.66,978341822,510300,False,False,,False,False,,False,False,False,,
2025-09-12,4.662,4.664,4.615,4.621,915858027,510300,False,False,,False,True,,False,True,False,,
